,,MN,MN,MN,MN,MN,MN,MN,0,G1,G1,G1,G1,G1,G1,G1,,NH,NH,NH,NH,NH,NH,NH,1,G2,G2,G2,G2,G2,G2,G2,,DD,DD,DD,DD,DD,DD,DD,0,G3,G3,G3,G3,G3,G3,G3,,SH,SH,SH,SH,SH,SH,SH,0,G4,G4,G4,G4,G4,G4,G4
2-Feb-13,8:20:08,,,,M,N,,,0,,,,,,,,,,C,,,,S,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:20:17,,,,M,N,,,0,,,,,,,,,,,,,,S,,1,,C>,,,,,,,,,,,,,,0,,,,,,,,,A,,L,,,,T,0,,,,,,,
2-Feb-13,8:20:18,,,L,M,N,,,0,,,,,,,,,,,,,,S,,1,,C>,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:20:30,,,,M,N,,,0,,,,,,,,,,,L,,,S,,1,,C>,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:20:43,,,,M,N,S,,0,,,,,,,,,,,L,,,,,1,,C>,,,,,,,,,,,,,,0,,,,,,,,,A,,,,,,T,0,,,,,,,
2-Feb-13,8:20:58,,,,,N,S,,0,,,,,,,,,,,L,,,,,1,,C>,,,,,,,,,,,,,,0,,,,,,,,,A,,,M,,,T,0,,,,,,,
2-Feb-13,8:21:00,,,,,N,S,,0,,,,,,,,,,,L,,,,,1,,C>,,,,,,,,,,,,,,0,,,,,,,,,A,,,M,,,T,0,,,,,,,
2-Feb-13,8:21:06,,,,,N,S,,0,,,,,,,,,,C,L,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,A,,,M,,,T,0,,,,,,,
2-Feb-13,8:21:18,,,,,N,S,,0,,,,,,,,,,C,L,,,,,1,,,,,,,,,,,,,,,T,0,,,,,,,,,A,,,M,,,,0,,,,,,,
2-Feb-13,8:21:20,,,,,N,S,,0,,,,,,,,,,,L,,,,,1,,C>,,,,,,,,,,,,,T,0,,,,,,,,,A,,,M,,,,0,,,,,,,
2-Feb-13,8:21:29,,,,M,N,S,,0,,,,,,,,,,,L,,,,,1,,C>,,,,,,,,,,,,,T,0,,,,,,,,,A,,,,,,,0,,,,,,,
